"#","Player","Pos","Team","GP","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"1","Mark Andrews","TE","BAL","17","5","10.7","15.9","11.7","41.7","17.8","7.8","BYE","9.4","18.3","15.3","16.5","9","28.5","35.6","26.5","14.9","16.5","17.7","301.1"
"2","Travis Kelce","TE","KC","16","25.6","23.9","17.4","6.3","17.7","17.9","13.5","4.7","17.8","19.9","18.8","BYE","5.7","5.7","41.1","-","13.4","13.4","16.4","262.8"
"3","Dalton Schultz","TE","HOU","17","10.5","3.8","26","17.8","13.9","12.9","-","3.1","9.4","2.4","11.3","15.6","9.3","1.4","20.7","22.2","11.4","17.1","12.3","208.8"
"4","George Kittle","TE","SF","14","11.8","5.7","17.1","8","-","BYE","-","-","20.1","16","13.4","2.3","39.6","34.1","15.3","4.1","4.5","6","14.1","198"
"5","Zach Ertz","TE","FA","17","5.4","1.6","15.3","12","1.7","12.9","16","8.2","5.7","8.6","28.8","-","2","9.2","13.4","13.4","11.1","15.4","10.6","180.7"
"6","Kyle Pitts Sr.","TE","ATL","17","7.1","12.3","5.5","9","26.9","BYE","23.3","3.3","9.2","10","5.9","4.6","8.8","11.1","11.7","16.2","8.9","2.8","10.4","176.6"
"7","Rob Gronkowski","TE","FA","12","29","19.9","9.5","-","-","-","-","0","-","-","13.1","19.3","21.8","11.2","4.9","3.3","18.5","20.7","14.3","171.2"
"8","Mike Gesicki","TE","CIN","17","0","7.1","18.6","16.7","8.3","19.5","21.5","9.8","9.4","0","10","4.7","11.6","-","9.3","5.2","9.1","4.2","9.7","165"
"8","Dallas Goedert","TE","PHI","15","14.2","4.4","8.6","16.6","4.8","-","12","13.2","7.3","4.8","11.2","1","28.5","BYE","20.5","4.8","13.1","-","11","165"
"10","Hunter Henry","TE","NE","16","6.1","6.2","8.6","13.2","19.5","10.5","10.3","4.3","9.9","19.7","4.5","3.6","-","BYE","25.7","1.9","6.7","13.6","10.3","164.3"
"11","Dawson Knox","TE","BUF","15","8.1","9.7","14.9","20.7","20.7","7.5","BYE","-","-","2.7","14","18.2","3.4","19","7.8","9.1","0","8.3","10.9","164.1"
"12","Noah Fant","TE","NO","16","12.2","13.3","3.5","16.6","5","24.7","8.9","2.8","-","10.9","-","4.2","7.3","9.1","10.7","6","21.2","2.6","9.9","159"
"13","Pat Freiermuth","TE","PIT","16","3.4","7.6","11.2","2.1","2.7","12.8","BYE","14.4","21.3","6.1","11.1","14","7.6","11.2","7.7","-","7.2","11.3","9.5","151.7"
"14","Tyler Higbee","TE","LAR","15","11.8","1.8","15","7.6","9.4","8.6","9.6","5.5","10.1","11","BYE","1.3","9.8","-","-","9.1","12.9","23.5","9.8","147"
"15","T.J. Hockenson","TE","MIN","12","25.7","20.6","3","8.2","4.2","15.4","10.8","18.9","-","0","11.1","12.5","14.9","-","-","-","-","-","12.1","145.3"
"16","Tyler Conklin","TE","DET","17","8.1","3.5","20","5.8","4.5","10.1","-","10.7","9.5","16.1","6.5","4.5","12.6","4","1.7","8.4","9.7","2.6","8.1","138.3"
"17","Darren Waller","TE","FA","11","26.5","11.5","10.4","15","8.5","10.9","-","-","16.2","6.4","18.6","5.3","-","-","-","-","-","4.2","12.1","133.5"
"18","Jared Cook","TE","FA","16","10.6","5.8","4.7","19","3.9","12.5","-","4.5","10.8","2","5.8","10.5","5.9","8.8","6.2","9.4","-","12","8.3","132.4"
"19","C.J. Uzomah","TE","FA","16","5.5","2.4","0","26.5","3.6","10.5","24.1","7.3","6.4","-","2.9","3.9","5","9.6","4.8","8.6","7.2","-","8","128.3"
"20","Cole Kmet","TE","CHI","17","9.2","1","2.1","1.6","4.2","8.9","9.3","5.4","14.7","BYE","2.2","14.5","7.1","4.7","13.1","8.9","5.5","8.8","7.1","121.2"
"21","Gerald Everett","TE","FA","15","10","1.3","10.4","-","-","6","5.3","1.2","-","14.3","6.7","14.7","0.7","10.8","10","16.8","6.6","3","7.9","117.8"
"22","David Njoku","TE","FA","15","10.6","3.8","-","3.7","27.9","1.6","3.8","6.9","8.8","2.1","4.1","12.5","-","-","5.9","0","12.8","3.1","7.2","107.6"
"23","Evan Engram","TE","DEN","15","-","-","2.1","7.4","9.5","5.4","10.4","10.5","12.8","-","3.2","6.7","10.1","1.8","7.3","11.7","2.2","1.4","6.8","102.5"
"24","Austin Hooper","TE","ATL","15","5.7","9","9.9","2.1","2","1.4","6.2","6.6","3.4","12.5","9.3","0","-","14","-","5.6","4.8","-","6.2","92.5"
"25","Foster Moreau","TE","HOU","15","-","11.4","1.8","-","0","2.1","18","-","0","0","8.9","1.3","4.4","4.3","13.5","10.7","1.9","7","5.7","85.3"
"26","Mo Alie-Cox","TE","IND","17","0","2.8","3.4","19.2","8","9.8","11.5","0","3.8","1.6","0","1.8","1","BYE","0","6.2","5.8","4.7","4.7","79.6"
"27","Jack Doyle","TE","FA","15","5.1","13.4","2","3.4","1.4","0","0","9.2","7.1","6.1","6","20.1","2.3","-","1","-","-","2.1","5.3","79.2"
"28","Cameron Brate","TE","FA","16","-","1.8","7.5","4.9","2.2","5.6","0","3.5","-","7.6","4.7","5.3","7.3","3.1","4.2","9.1","8.5","3.2","4.9","78.5"
"29","Albert Okwuegbunam Jr.","TE","LV","14","8.6","6.4","1.6","2.1","-","-","-","6.4","6.5","10.7","-","2.2","5.1","15.1","8.8","0","2.5","0","5.4","76"
"30","Dan Arnold","TE","FA","11","2.6","8.5","4.3","4.9","10.4","4.7","-","14.8","10","13.7","0","1.9","-","-","-","-","-","-","6.9","75.8"
"31","Anthony Firkser","TE","FA","15","4.9","-","-","5.3","6.3","2.1","1.9","1.8","1.7","1.2","7.6","1.7","-","7.4","1.9","2.3","11.4","15.6","4.9","73.1"
"32","Durham Smythe","TE","BAL","16","1.9","0","0","2.6","4.3","10.9","6.7","BYE","4.7","3.3","7.7","8.5","0","-","1.4","6.1","6.7","5.2","4.4","70"
"32","Geoff Swaim","TE","FA","16","0","3","5.7","0","0","1.8","1.8","12.3","12.9","6.6","-","1.8","-","7.5","1.5","4","9.9","1.2","4.4","70"
"34","Ricky Seals-Jones","TE","FA","11","-","8.9","-","3.9","9.1","15.8","11.1","3.2","-","6","-","-","-","1.8","6.9","0.6","1.8","-","6.3","69.1"
"35","Jonnu Smith","TE","FA","16","9.8","6.8","1.4","10.4","5.2","1.9","7.7","3.3","1.8","-","2.7","8.8","2.1","-","1.5","0","3.5","0.5","4.2","67.4"
"36","Ryan Griffin","TE","FA","14","5.2","3","1.5","1.8","1.4","-","2.5","1.7","12.8","3.1","6.9","5","9.5","4.8","5.9","-","-","-","4.7","65.1"
"37","Hayden Hurst","TE","FA","12","6.8","1.6","0","6.9","12","-","6.5","2.4","3.6","-","-","-","-","7.3","2.6","10.1","-","4.3","5.3","64.1"
"38","Adam Trautman","TE","DEN","11","4.8","-","0","1.3","6.3","-","4.6","2.4","8.7","8.2","16.8","-","-","-","1.4","-","-","8.8","5.8","63.3"
"39","Harrison Bryant","TE","FA","15","2.7","8.9","0","1.3","0","-","2.5","5.3","4.6","3.8","0","8","-","-","9.1","7.1","7.1","1.9","4.2","62.3"
"40","Josiah Deguara","TE","FA","14","-","-","1.4","0","-","1.4","0","4","3.6","2.9","11.7","3.3","-","7.4","4.6","2.5","3.1","15.6","4.4","61.5"
"41","Kyle Rudolph","TE","FA","15","2.8","4.5","-","4.4","2.4","3.8","2.8","9.2","6","-","3.8","-","3.8","8.6","1.9","0","0","5.7","4","59.7"
"42","Donald Parham Jr.","TE","FA","14","0","0","2.9","9.7","12.9","3","-","0","12.9","2.7","7.8","1.5","2.3","3.3","0","-","-","-","4.2","59"
"43","Brevin Jordan","TE","HOU","8","-","-","-","-","-","-","-","13.1","2.9","BYE","1.7","11.3","2.7","12.6","-","9.6","1.9","-","7","55.8"
"44","Logan Thomas","TE","FA","5","12","9.5","12.2","-","-","-","-","-","-","-","-","6.1","13.8","-","-","-","-","-","10.7","53.6"
"45","Tommy Tremble","TE","CAR","15","0","-","10.7","0","9.2","2","3.2","4.8","1.6","1.3","5.5","1.4","BYE","4.3","1.8","4.2","-","3.1","3.5","53.1"
"46","Juwan Johnson","TE","NO","13","17.1","3.3","0","10","0","BYE","1.8","0","-","5.6","-","-","3.7","2.5","0","-","1.4","7.5","4.1","52.9"
"47","John Bates","TE","WAS","13","-","0","0","-","-","1.7","-","1.4","BYE","5.5","5.3","2.5","7.2","2.9","3.9","12.5","6.5","1.5","3.9","50.9"
"48","Jimmy Graham","TE","FA","11","2.1","-","0","-","-","-","-","-","3.8","-","4.5","11.4","9.1","2.9","2.3","11","0","3.6","4.6","50.7"
"49","James O'Shaughnessy","TE","FA","7","10.8","3.4","-","-","-","-","-","-","-","-","-","7.9","3.3","6.1","10","8.9","-","-","7.2","50.4"
"49","Robert Tonyan","TE","FA","8","2.8","14.2","1.6","2.8","1.8","3","16.3","7.9","-","-","-","-","-","-","-","-","-","-","6.3","50.4"
