Player,Team,GP,PTS,REB,AST,STL,BLK,FG3M,TOV,40-Point Games,50-Point Games,Double Doubles,Triple Doubles,Total Fantasy Points,Fantasy Points Per Game
Dwight Howard,ORL,78,1784,1098,107,107,186,0,279,2,0,66,0,2472.0,31.69
LeBron James,MIA,79,2111,590,554,124,50,92,284,4,1,31,4,2353.5,29.79
Kevin Love,MIN,73,1476,1112,184,45,28,88,155,1,0,64,0,2134.0,29.23
Blake Griffin,LAC,82,1845,989,312,63,45,7,223,2,0,63,2,2289.0,27.91
Dwyane Wade,MIA,76,1941,485,346,111,87,63,237,4,0,10,1,2008.0,26.42
Amar'e Stoudemire,NYK,78,1971,636,202,71,150,10,250,3,0,26,0,2049.5,26.28
Pau Gasol,LAL,82,1541,836,273,48,130,1,142,0,0,43,1,2139.0,26.09
Kevin Durant,OKC,78,2161,533,214,88,76,145,218,5,0,14,0,2029.0,26.01
Zach Randolph,MEM,75,1504,914,163,63,25,8,151,0,0,53,0,1911.0,25.48
Derrick Rose,CHI,81,2026,330,623,85,51,128,278,2,0,23,1,2051.0,25.32
Chris Paul,NOH,80,1268,327,782,188,5,71,177,0,0,32,0,2019.5,25.24
Russell Westbrook,OKC,82,1793,379,670,155,30,34,316,1,0,31,3,2054.5,25.05
Deron Williams,NJN,65,1309,260,667,79,15,105,230,0,0,34,0,1626.0,25.02
Al Jefferson,UTA,82,1528,794,149,46,153,0,105,0,0,37,0,2037.0,24.84
LaMarcus Aldridge,POR,81,1769,709,170,82,94,4,153,2,0,36,0,2002.5,24.72
Andrew Bogut,MIL,65,830,720,131,47,168,0,125,0,0,24,0,1595.0,24.54
Carmelo Anthony,NYK,77,1970,563,221,68,46,95,206,2,1,18,0,1859.5,24.15
Josh Smith,ATL,77,1274,657,255,99,120,51,197,0,0,31,1,1848.5,24.01
Monta Ellis,GSW,80,1929,281,450,168,23,137,252,4,0,10,0,1908.0,23.85
Kobe Bryant,LAL,82,2078,419,388,99,12,115,243,3,0,9,1,1896.5,23.13
Al Horford,ATL,77,1178,718,266,59,80,2,119,0,0,36,0,1769.0,22.97
Rajon Rondo,BOS,68,721,297,760,153,11,10,234,0,0,31,3,1553.5,22.85
Rudy Gay,MEM,54,1069,336,153,91,58,57,135,0,0,4,0,1219.0,22.57
John Wall,WAS,69,1131,317,574,121,35,34,261,0,0,26,1,1552.5,22.5
