Player,Team,GP,PTS,REB,AST,STL,BLK,FG3M,TOV,40-Point Games,50-Point Games,Double Doubles,Triple Doubles,Total Fantasy Points,Fantasy Points Per Game
Russell Westbrook,OKC,80,1878,626,834,163,20,101,342,4,0,54,18,2567.5,32.09
DeMarcus Cousins,SAC,65,1748,747,214,101,92,70,249,4,1,47,1,2061.0,31.71
Stephen Curry,GSW,79,2375,430,527,169,15,402,262,13,3,15,2,2486.5,31.47
James Harden,HOU,82,2376,501,612,139,51,236,374,12,1,23,3,2467.0,30.09
Anthony Davis,NOP,61,1481,627,116,78,125,35,121,3,1,36,0,1826.0,29.93
Kevin Durant,OKC,72,2029,589,361,69,85,186,250,3,0,27,1,2147.5,29.83
LeBron James,CLE,76,1920,565,514,104,49,87,249,0,0,28,3,2173.5,28.6
Andre Drummond,DET,81,1314,1198,67,119,112,2,155,0,0,66,0,2296.0,28.35
John Wall,WAS,77,1531,379,789,145,59,115,318,1,0,49,4,2139.0,27.78
Draymond Green,GSW,81,1131,769,598,119,113,100,259,0,0,33,13,2246.5,27.73
Pau Gasol,CHI,72,1187,793,294,42,146,24,164,0,0,46,2,1954.5,27.15
Chris Paul,LAC,74,1446,310,738,152,13,122,194,1,0,38,0,2007.0,27.12
Hassan Whiteside,MIA,73,1040,865,29,44,269,0,137,0,0,41,3,1950.0,26.71
DeAndre Jordan,LAC,77,980,1059,90,51,177,0,107,0,0,49,0,2037.0,26.45
Paul Millsap,ATL,81,1385,732,265,147,139,74,191,0,0,32,0,2139.5,26.41
Kyle Lowry,TOR,77,1634,365,494,158,34,212,225,2,0,12,1,1957.0,25.42
Paul George,IND,81,1874,563,329,152,29,210,265,3,0,15,0,2049.0,25.3
Kawhi Leonard,SAS,72,1523,493,186,128,71,129,105,0,0,12,0,1810.0,25.14
Rajon Rondo,SAC,72,859,435,839,141,10,62,278,0,0,37,6,1807.5,25.1
Karl-Anthony Towns,MIN,82,1503,858,161,58,138,30,183,0,0,52,0,2046.5,24.96
Blake Griffin,LAC,35,749,294,170,28,17,6,83,1,0,13,0,862.5,24.64
Damian Lillard,POR,75,1879,302,512,65,28,229,242,4,2,15,0,1833.0,24.44
Carmelo Anthony,NYK,72,1573,556,299,62,38,105,176,0,0,22,0,1740.0,24.17
Jimmy Butler III,CHI,67,1399,358,321,110,43,64,132,3,1,10,2,1602.5,23.92
Giannis Antetokounmpo,MIL,80,1350,612,345,94,113,28,208,0,0,21,5,1883.0,23.54
Dwight Howard,HOU,71,976,835,98,69,113,0,166,0,0,38,0,1657.0,23.34
Kemba Walker,CHA,81,1689,357,421,126,39,182,171,2,1,3,0,1878.5,23.19
Brook Lopez,BKN,73,1501,573,146,58,124,2,175,0,0,26,0,1685.5,23.09
Nikola Vučević,ORL,65,1181,576,179,53,70,2,123,0,0,29,0,1498.5,23.05
Eric Bledsoe,PHX,31,632,125,190,63,19,48,110,0,0,3,0,712.0,22.97
Kevin Love,CLE,77,1234,762,185,58,41,158,142,0,0,35,0,1734.0,22.52
Al Horford,ATL,82,1249,596,263,68,121,88,107,0,0,17,0,1815.5,22.14
Derrick Favors,UTA,62,1016,503,94,74,91,0,104,0,0,19,0,1350.0,21.77
Marc Gasol,MEM,52,861,362,196,50,70,2,118,0,0,9,1,1122.5,21.59
Chris Bosh,MIA,53,1010,390,128,36,34,81,78,0,0,15,0,1140.5,21.52
Rudy Gobert,UTA,61,557,668,91,45,135,0,114,0,0,20,0,1303.5,21.37
LaMarcus Aldridge,SAS,74,1331,632,110,38,81,0,99,0,0,26,0,1572.5,21.25
Isaiah Thomas,BOS,82,1823,243,509,91,9,167,220,0,0,7,0,1734.0,21.15
