Player,Team,GP,PTS,REB,AST,STL,BLK,FG3M,TOV,40-Point Games,50-Point Games,Double Doubles,Triple Doubles,Total Fantasy Points,Fantasy Points Per Game
LeBron James,CLE,81,2304,613,587,137,93,132,241,9,3,29,7,2692.0,33.23
Dwyane Wade,MIA,79,2386,398,589,173,106,88,272,13,3,20,0,2546.0,32.23
Chris Paul,NOH,78,1781,432,861,216,10,64,231,2,0,50,6,2500.5,32.06
Dwight Howard,ORL,79,1624,1093,112,77,231,0,240,1,0,63,1,2459.0,31.13
Al Jefferson,MIN,50,1156,548,79,39,83,0,92,0,0,30,0,1387.0,27.74
Tim Duncan,SAS,75,1450,800,264,38,126,0,165,0,0,49,0,2001.0,26.68
Chris Bosh,TOR,77,1746,771,191,67,77,12,174,2,0,43,0,2000.0,25.97
Kobe Bryant,LAL,82,2201,429,399,120,37,118,210,4,1,8,2,2108.5,25.71
Dirk Nowitzki,DAL,81,2094,681,197,61,63,61,157,4,0,26,0,2076.5,25.64
Danny Granger,IND,67,1728,341,183,69,97,182,165,3,0,6,0,1655.0,24.7
Antawn Jamison,WAS,81,1801,721,153,95,25,112,125,0,0,38,0,1983.5,24.49
Pau Gasol,LAL,81,1528,780,284,52,81,1,157,0,0,37,1,1976.5,24.4
Troy Murphy,IND,73,1041,861,172,58,34,161,114,0,0,49,0,1753.0,24.01
Kevin Durant,OKC,74,1871,482,205,96,53,97,225,3,0,15,0,1762.0,23.81
Deron Williams,UTA,68,1322,195,725,73,20,70,228,0,0,44,0,1618.0,23.79
Yao Ming,HOU,77,1514,761,137,30,150,1,234,0,0,38,0,1819.5,23.63
Zach Randolph,LAC,50,1041,504,103,43,16,32,114,0,0,29,0,1176.5,23.53
David Lee,NYK,81,1293,951,174,80,22,0,150,0,0,65,0,1890.5,23.34
Stephen Jackson,GSW,59,1223,303,381,88,31,103,229,0,0,9,1,1367.0,23.17
Marcus Camby,LAC,62,641,690,127,51,132,1,93,0,0,25,0,1436.0,23.16
Jason Kidd,DAL,81,731,500,702,160,39,131,185,0,0,19,3,1871.0,23.1
Gilbert Arenas,WAS,2,26,9,20,0,1,2,1,0,0,2,0,46.0,23.0
Andris Biedrins,GSW,62,735,693,121,63,96,0,110,0,0,28,0,1417.5,22.86
Brandon Roy,POR,78,1765,370,400,88,22,83,152,1,1,3,0,1767.0,22.65
David West,NOH,76,1593,646,173,49,68,6,163,2,0,29,0,1720.5,22.64
Gerald Wallace,CHA,71,1182,553,189,121,67,39,148,0,0,20,0,1600.5,22.54
Andre Iguodala,PHI,82,1541,471,434,131,36,80,222,0,0,11,0,1838.5,22.42
Kevin Garnett,BOS,57,899,485,144,63,68,2,90,0,0,22,0,1273.5,22.34
Amar'e Stoudemire,PHX,53,1134,430,104,49,57,3,150,2,0,16,0,1182.5,22.31
Devin Harris,NJN,69,1470,231,476,114,13,64,212,3,0,16,0,1535.0,22.25
Carmelo Anthony,DEN,66,1504,450,222,75,24,63,199,2,0,12,0,1468.5,22.25
Vince Carter,NJN,80,1662,410,376,82,38,151,166,1,0,8,1,1777.5,22.22
Caron Butler,WAS,67,1392,414,290,106,20,65,210,0,0,11,0,1485.5,22.17
Joe Johnson,ATL,79,1688,346,455,84,19,149,195,1,0,4,1,1737.5,21.99
Carlos Boozer,UTA,37,599,385,79,39,7,0,79,0,0,20,0,796.5,21.53
Josh Smith,ATL,69,1073,498,169,94,111,26,161,0,0,20,0,1485.5,21.53
Shaquille O'Neal,PHX,75,1333,633,126,49,108,0,168,1,0,30,0,1602.5,21.37
Baron Davis,LAC,65,968,238,501,108,35,99,193,0,0,13,0,1378.5,21.21
Rajon Rondo,BOS,80,953,416,659,149,11,15,209,0,0,15,2,1689.0,21.11
LaMarcus Aldridge,POR,81,1470,605,157,77,77,7,121,0,0,19,0,1706.5,21.07
Tony Parker,SAS,72,1581,223,496,67,4,19,186,2,1,15,0,1493.0,20.74
Al Horford,ATL,67,773,624,163,53,95,0,103,0,0,20,0,1386.5,20.69
Emeka Okafor,CHA,82,1085,827,53,48,136,0,144,0,0,39,0,1685.5,20.55
Shawn Marion,TOR,69,891,589,139,88,66,10,105,0,0,22,0,1403.5,20.34
Paul Pierce,BOS,81,1658,457,294,80,27,119,228,0,0,7,0,1632.5,20.15
Steve Nash,PHX,74,1160,223,717,55,10,108,248,0,0,29,0,1485.0,20.07
Mehmet Okur,UTA,72,1225,557,120,54,53,90,132,1,0,23,0,1440.5,20.01
Chauncey Billups,DEN,79,1400,239,506,93,18,162,177,0,0,10,0,1581.0,20.01
Andre Miller,PHI,82,1337,368,534,109,14,15,199,0,0,12,2,1641.0,20.01
Rashard Lewis,ORL,79,1401,453,205,81,51,220,158,0,0,4,0,1578.5,19.98
Metta World Peace,HOU,69,1181,359,229,105,24,153,140,0,0,3,0,1376.0,19.94
Nene,DEN,77,1123,598,108,95,101,1,147,0,0,20,0,1533.0,19.91
Paul Millsap,UTA,76,1028,654,138,78,73,0,129,0,0,29,0,1508.0,19.84
Al Harrington,NYK,73,1469,455,102,88,22,171,161,0,0,10,0,1446.0,19.81
Kevin Martin,SAC,51,1254,183,138,61,8,115,146,2,1,1,0,1001.5,19.64
Lamar Odom,LAL,78,885,637,204,77,98,33,138,0,0,18,0,1530.0,19.62
Andrew Bogut,MIL,36,422,369,72,23,37,0,86,0,0,16,0,702.0,19.5
Rasheed Wallace,DET,66,795,490,91,62,86,113,59,0,0,15,0,1287.0,19.5
Andrew Bynum,LAL,50,714,398,71,18,90,0,85,1,0,16,0,974.0,19.48
Jose Calderon,TOR,68,873,194,607,74,7,82,143,0,0,22,0,1319.5,19.4
Tracy McGrady,HOU,35,545,154,175,42,15,44,69,0,0,2,1,672.5,19.21
Elton Brand,PHI,29,399,254,37,17,45,0,68,0,0,10,0,556.5,19.19
Raymond Felton,CHA,82,1162,310,553,126,30,59,228,0,0,7,0,1564.5,19.08
Hedo Turkoglu,ORL,77,1294,410,375,64,19,134,204,0,0,4,0,1465.0,19.03
Brook Lopez,NJN,82,1068,665,86,44,151,0,147,0,0,18,0,1546.0,18.85
Monta Ellis,GSW,25,474,108,93,39,8,8,67,1,0,1,0,471.0,18.84
Jameer Nelson,ORL,42,702,145,226,51,3,82,83,0,0,3,0,791.0,18.83
Rudy Gay,MEM,79,1493,437,135,98,59,85,203,0,0,6,0,1478.0,18.71
Brendan Haywood,WAS,6,58,44,8,4,15,0,9,0,0,2,0,112.0,18.67
Derrick Rose,CHI,81,1361,317,512,66,18,16,202,0,0,8,0,1491.5,18.41
Jeff Green,OKC,78,1290,519,155,81,33,96,173,0,0,13,0,1435.0,18.4
Nate Robinson,NYK,74,1272,290,301,95,6,125,139,1,0,4,0,1357.5,18.34
Antonio McDyess,DET,62,596,607,83,41,50,0,51,0,0,16,0,1135.0,18.31
Jamal Crawford,GSW,65,1280,193,288,57,13,142,148,2,1,1,0,1188.0,18.28
Michael Redd,MIL,33,699,107,88,35,2,70,53,1,0,1,0,602.5,18.26
Manu Ginobili,SAS,44,683,198,157,64,16,69,88,0,0,0,0,803.0,18.25
Jason Terry,DAL,74,1447,177,251,97,20,167,119,0,0,0,0,1350.0,18.24
Charlie Villanueva,MIL,78,1264,520,137,50,56,89,138,0,0,14,0,1421.5,18.22
Mike Bibby,ATL,79,1176,278,392,98,11,167,128,0,0,4,0,1435.5,18.17
Ben Gordon,CHI,82,1699,283,279,71,22,173,200,1,0,0,0,1485.0,18.11
Brad Miller,CHI,70,831,545,234,52,36,23,130,0,0,16,0,1268.0,18.11
John Salmons,CHI,79,1446,333,249,83,24,126,165,0,0,3,0,1420.0,17.97
Russell Westbrook,OKC,82,1256,399,435,110,16,35,274,0,0,10,1,1469.5,17.92
Josh Howard,DAL,52,936,263,83,55,30,58,89,0,0,6,0,930.0,17.88
Allen Iverson,DET,57,995,173,283,88,6,28,146,0,0,2,0,1011.5,17.75
Jermaine O'Neal,MIA,68,905,433,122,29,136,0,144,0,0,8,0,1201.5,17.67
Kenyon Martin,DEN,66,769,395,132,96,74,14,104,0,0,5,0,1159.5,17.57
Tyrus Thomas,CHI,79,857,508,77,91,151,3,129,0,0,18,0,1388.0,17.57
Tayshaun Prince,DET,82,1163,476,253,44,51,56,101,0,0,11,0,1438.5,17.54
Richard Jefferson,MIL,82,1607,374,199,66,14,116,165,0,0,2,0,1431.5,17.46
Luis Scola,HOU,82,1044,720,123,68,11,0,123,0,0,28,0,1428.0,17.41
Zydrunas Ilgauskas,CLE,65,838,490,64,28,84,15,90,0,0,14,0,1128.5,17.36
Jason Richardson,PHX,72,1212,319,146,76,28,129,95,0,0,1,0,1249.5,17.35
Mo Williams,CLE,81,1443,279,329,69,9,183,179,2,0,1,0,1401.0,17.3
Wilson Chandler,NYK,82,1184,445,170,71,75,103,139,0,0,3,0,1414.5,17.25
Luol Deng,CHI,49,690,295,94,60,25,8,72,0,0,7,0,843.0,17.2
Marvin Williams,ATL,61,845,382,81,57,39,55,70,0,0,6,0,1041.0,17.07
Chris Kaman,LAC,31,373,247,46,17,45,0,84,0,0,9,0,528.5,17.05
Marc Gasol,MEM,82,975,605,143,63,90,0,164,0,0,17,0,1394.5,17.01
Randy Foye,MIN,70,1139,214,303,72,26,111,150,0,0,2,0,1190.0,17.0
Ray Allen,BOS,79,1434,278,218,69,13,199,134,0,0,0,0,1342.5,16.99
T.J. Ford,IND,74,1106,259,392,89,16,35,180,0,0,4,0,1255.5,16.97
O.J. Mayo,MEM,82,1516,308,262,91,13,145,226,0,0,2,0,1384.5,16.88
Boris Diaw,CHA,81,1072,432,333,61,53,75,215,0,0,8,0,1359.5,16.78
Al Thornton,LAC,71,1194,368,103,59,62,20,130,0,0,1,0,1191.0,16.77
Andrea Bargnani,TOR,78,1202,416,94,34,97,119,135,0,0,6,0,1303.5,16.71
Spencer Hawes,SAC,77,876,549,149,44,93,40,160,0,0,14,0,1284.0,16.68
Kevin Love,MIN,81,899,734,84,35,50,2,118,0,0,29,0,1349.5,16.66
