Player,Team,GP,PTS,REB,AST,STL,BLK,FG3M,TOV,40-Point Games,50-Point Games,Double Doubles,Triple Doubles,Total Fantasy Points,Fantasy Points Per Game
LeBron James,CLE,76,2258,554,651,125,77,129,261,9,0,31,4,2589.5,34.07
Dwight Howard,ORL,82,1503,1082,144,75,228,0,274,0,0,64,0,2373.5,28.95
Kevin Durant,OKC,82,2472,623,231,112,84,128,271,8,0,25,0,2308.0,28.15
Dwyane Wade,MIA,77,2045,373,501,142,82,73,252,4,0,17,0,2150.0,27.92
Chris Paul,NOH,45,841,191,480,96,8,52,112,0,0,23,1,1238.5,27.52
David Lee,NYK,81,1640,949,295,85,40,0,189,0,0,53,1,2180.0,26.91
Pau Gasol,LAL,65,1190,734,218,37,113,0,143,0,0,40,0,1744.0,26.83
Chris Bosh,TOR,70,1678,759,166,43,68,8,169,2,0,49,0,1872.0,26.74
Josh Smith,ATL,81,1269,705,342,130,172,0,198,0,0,27,1,2116.5,26.13
Zach Randolph,MEM,81,1681,950,149,80,34,15,174,0,0,57,0,2058.0,25.41
Dirk Nowitzki,DAL,81,2027,620,218,70,79,51,149,3,0,19,1,2050.0,25.31
Kobe Bryant,LAL,73,1970,391,365,113,20,99,233,8,0,7,0,1838.5,25.18
Carlos Boozer,UTA,78,1519,874,247,84,36,0,212,0,0,55,0,1963.5,25.17
Tim Duncan,SAS,78,1395,788,246,45,117,2,140,0,0,38,0,1954.5,25.06
Carmelo Anthony,DEN,69,1943,454,222,88,30,59,209,7,1,10,0,1722.0,24.96
Gerald Wallace,CHA,76,1386,762,161,117,83,52,178,0,0,33,0,1897.0,24.96
Andrew Bogut,MIL,69,1095,701,127,39,175,0,131,0,0,37,0,1709.5,24.78
Deron Williams,UTA,76,1419,303,798,96,16,96,252,1,0,44,0,1875.5,24.68
Monta Ellis,GSW,64,1631,257,340,143,25,77,244,3,0,6,0,1552.0,24.25
Danny Granger,IND,62,1497,342,171,94,51,158,157,1,0,3,0,1477.5,23.83
Rajon Rondo,BOS,81,1110,360,794,189,11,17,246,0,0,40,2,1915.5,23.65
Andre Iguodala,PHI,82,1401,529,472,141,55,94,218,0,0,11,0,1933.5,23.58
Marcus Camby,POR,74,556,871,186,95,146,2,91,0,0,17,0,1744.0,23.57
Gilbert Arenas,WAS,32,722,133,230,41,9,63,117,1,0,5,1,746.5,23.33
Jason Kidd,DAL,80,824,445,724,145,35,176,195,0,0,26,2,1864.0,23.3
Brook Lopez,NJN,82,1542,709,187,55,139,0,204,0,0,33,0,1884.0,22.98
Troy Murphy,IND,72,1050,737,150,72,34,128,100,0,0,39,0,1627.0,22.6
Amar'e Stoudemire,PHX,82,1896,732,82,52,83,1,213,2,0,31,0,1852.5,22.59
Marc Gasol,MEM,69,1008,640,165,69,109,0,135,0,0,28,0,1558.0,22.58
Al Jefferson,MIN,76,1301,703,137,63,98,0,136,0,0,35,0,1711.5,22.52
Tyreke Evans,SAC,72,1450,380,414,109,26,36,216,0,0,13,1,1606.0,22.31
